"event-id","visible","timestamp","location-long","location-lat","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","MODIS Land VCF 250m Yearly Terra Percent Non-Tree Vegetation","Movebank Orographic Uplift (from ASTER DEM and NARR)"
"8996267041","true","2018-02-19 05:00:00.000","31.02","-6.7005","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267042","true","2018-02-19 09:00:00.000","30.734","-6.84367","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267043","true","2018-02-19 10:00:00.000","30.73383","-6.8435","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267044","true","2018-02-20 08:00:00.000","30.73383","-6.84367","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267045","true","2018-02-20 09:00:00.000","30.74767","-6.751","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267046","true","2018-02-20 10:00:00.000","31.0685","-6.70283","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267047","true","2018-02-20 11:00:00.000","31.33433","-6.712","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267048","true","2018-02-20 12:00:00.000","31.55267","-6.97383","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267049","true","2018-02-20 13:00:00.000","31.6215","-7.15183","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267050","true","2018-02-20 14:00:00.000","31.62433","-7.1505","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267051","true","2018-02-20 15:00:00.000","31.62433","-7.15033","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267052","true","2018-02-21 09:00:00.000","31.25383","-6.986","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267053","true","2018-02-21 10:00:00.000","31.16033","-6.95267","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267054","true","2018-02-21 11:00:00.000","30.82733","-6.861","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267055","true","2018-02-21 12:00:00.000","30.71783","-6.8445","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267056","true","2018-02-22 10:00:00.000","31.0655","-6.67633","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267057","true","2018-02-22 11:00:00.000","30.842","-6.8785","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267058","true","2018-02-22 12:00:00.000","31.067","-6.96667","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267059","true","2018-02-22 13:00:00.000","31.16933","-7.01017","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267060","true","2018-02-22 14:00:00.000","31.16933","-7.01","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267061","true","2018-02-22 15:00:00.000","31.17883","-7.00467","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267062","true","2018-02-22 16:00:00.000","31.17883","-7.00483","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267063","true","2018-02-24 08:00:00.000","30.96167","-6.75917","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267064","true","2018-02-24 09:00:00.000","30.8335","-6.91383","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267065","true","2018-02-24 13:00:00.000","31.10633","-6.725","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267066","true","2018-02-25 08:00:00.000","31.204","-6.78867","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267067","true","2018-02-25 16:00:00.000","31.20567","-6.78933","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267068","true","2018-02-26 07:00:00.000","31.20383","-6.7885","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267069","true","2018-02-26 08:00:00.000","31.20367","-6.78867","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267070","true","2018-02-26 09:00:00.000","31.14767","-6.7575","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267071","true","2018-02-26 10:00:00.000","31.163","-6.78117","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267072","true","2018-02-26 11:00:00.000","30.96617","-6.66917","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267073","true","2018-02-26 12:00:00.000","31.20617","-6.78883","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267074","true","2018-02-27 10:00:00.000","31.029","-6.90233","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267075","true","2018-02-27 11:00:00.000","30.86817","-6.84617","gps","","33017","33017","step selection corinne","NaN","NaN"
"8996267076","true","2018-02-28 10:00:00.000","30.774","-6.925","gps","","33017","33017","step selection corinne","NaN","NaN"
